Worker ID,Link to Individual Worker Page,Number of HITs approved or rejected - Lifetime,Number of HITs approved - Lifetime,Your Lifetime approval rate,Number of HITs approved or rejected - Last 30 days,Number of HITs approved - Last 30 days,Your Last 30 days approval rate,Number of HITs approved or rejected - Last 7 days,Number of HITs approved - Last 7 days,Your Last 7 days approval rate,CURRENT-1stparallel,UPDATE-1stparallel,CURRENT-1stiteration,UPDATE-1stiteration,CURRENT BlockStatus,UPDATE BlockStatus,BlockReason
A12NNJKHIZP1TY,https://requester.mturk.com/workers/A12NNJKHIZP1TY,9,9,100.00%,9,9,100.00%,9,9,100.00%,1,2,1,,Never Blocked,,
A12TSLY8GXWHB4,https://requester.mturk.com/workers/A12TSLY8GXWHB4,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,Never Blocked,,
A1FN47KACHQ5W,https://requester.mturk.com/workers/A1FN47KACHQ5W,20,20,100.00%,20,20,100.00%,20,20,100.00%,1,2,1,,Never Blocked,,
A1IKH0O3IO4RFC,https://requester.mturk.com/workers/A1IKH0O3IO4RFC,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,Never Blocked,,
A1K0TANCR2KNO7,https://requester.mturk.com/workers/A1K0TANCR2KNO7,9,9,100.00%,9,9,100.00%,9,9,100.00%,,,,,Never Blocked,,
A1MPNYNTLMLJCR,https://requester.mturk.com/workers/A1MPNYNTLMLJCR,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,Never Blocked,,
A1RP234EJ8NH7K,https://requester.mturk.com/workers/A1RP234EJ8NH7K,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,Never Blocked,,
A1V70LAP4UDYV6,https://requester.mturk.com/workers/A1V70LAP4UDYV6,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,1,,Never Blocked,,
A1XCQA727LJVL2,https://requester.mturk.com/workers/A1XCQA727LJVL2,5,5,100.00%,5,5,100.00%,5,5,100.00%,1,2,1,,Never Blocked,,
A23KAJRDVCVGOE,https://requester.mturk.com/workers/A23KAJRDVCVGOE,13,13,100.00%,13,13,100.00%,13,13,100.00%,,,,,Never Blocked,,
A24JKHC4HTY6CD,https://requester.mturk.com/workers/A24JKHC4HTY6CD,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,Never Blocked,,
A2FWRZLIE1I60V,https://requester.mturk.com/workers/A2FWRZLIE1I60V,6,6,100.00%,6,6,100.00%,6,6,100.00%,1,,,,Never Blocked,,
A2G44A4ZPWRPXU,https://requester.mturk.com/workers/A2G44A4ZPWRPXU,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,Never Blocked,,
A2GIT09BQEUM9M,https://requester.mturk.com/workers/A2GIT09BQEUM9M,9,9,100.00%,9,9,100.00%,9,9,100.00%,1,,,,Never Blocked,,
A2JAE9P7FQXU2T,https://requester.mturk.com/workers/A2JAE9P7FQXU2T,19,19,100.00%,19,19,100.00%,19,19,100.00%,1,2,1,,Never Blocked,,
A2JJF5OFND2KL5,https://requester.mturk.com/workers/A2JJF5OFND2KL5,3,3,100.00%,3,3,100.00%,3,3,100.00%,,,,,Never Blocked,,
A2LED6ZGVIMIJT,https://requester.mturk.com/workers/A2LED6ZGVIMIJT,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,Never Blocked,,
A2M17UGPFZWXQW,https://requester.mturk.com/workers/A2M17UGPFZWXQW,3,2,66.67%,3,2,66.67%,3,2,66.67%,,,,,Never Blocked,,
A2MRHI9MYSZ37U,https://requester.mturk.com/workers/A2MRHI9MYSZ37U,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,Never Blocked,,
A2MUOR5H62S8OG,https://requester.mturk.com/workers/A2MUOR5H62S8OG,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,Never Blocked,,
A2OATZCX1YXE77,https://requester.mturk.com/workers/A2OATZCX1YXE77,3,3,100.00%,3,3,100.00%,3,3,100.00%,,,,,Never Blocked,,
A2VO8C41JJIQY9,https://requester.mturk.com/workers/A2VO8C41JJIQY9,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,Never Blocked,,
A2WVCXVSE0YGML,https://requester.mturk.com/workers/A2WVCXVSE0YGML,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,Never Blocked,,
A2XK59FYAFO9EX,https://requester.mturk.com/workers/A2XK59FYAFO9EX,3,2,66.67%,3,2,66.67%,3,2,66.67%,,,,,Never Blocked,,
A2ZE2IPHK152KA,https://requester.mturk.com/workers/A2ZE2IPHK152KA,1,1,100.00%,1,1,100.00%,1,1,100.00%,1,,,,Never Blocked,,
A31ZMKF1XY6SFF,https://requester.mturk.com/workers/A31ZMKF1XY6SFF,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,Never Blocked,,
A33Z442WJQ8ADC,https://requester.mturk.com/workers/A33Z442WJQ8ADC,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,Never Blocked,,
A34AQDMF5GVHVY,https://requester.mturk.com/workers/A34AQDMF5GVHVY,3,3,100.00%,3,3,100.00%,3,3,100.00%,1,,,,Never Blocked,,
A35CL66BEUSJ5Z,https://requester.mturk.com/workers/A35CL66BEUSJ5Z,12,12,100.00%,12,12,100.00%,12,12,100.00%,,,,,Never Blocked,,
A39AFS9KQ45KEA,https://requester.mturk.com/workers/A39AFS9KQ45KEA,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,Never Blocked,,
A3DHYTZ1GPN0T8,https://requester.mturk.com/workers/A3DHYTZ1GPN0T8,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,Never Blocked,,
A3F7TX7LITQ4UP,https://requester.mturk.com/workers/A3F7TX7LITQ4UP,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,1,,Never Blocked,,
A3HGZDLMCKGPSE,https://requester.mturk.com/workers/A3HGZDLMCKGPSE,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,Never Blocked,,
A3KA1ZSIF3UKWZ,https://requester.mturk.com/workers/A3KA1ZSIF3UKWZ,3,3,100.00%,3,3,100.00%,3,3,100.00%,,,,,Never Blocked,,
A3MUG02LJ4BM9F,https://requester.mturk.com/workers/A3MUG02LJ4BM9F,2,2,100.00%,2,2,100.00%,2,2,100.00%,1,,,,Never Blocked,,
A3O5X3P3N0KU7I,https://requester.mturk.com/workers/A3O5X3P3N0KU7I,3,2,66.67%,3,2,66.67%,3,2,66.67%,,,,,Never Blocked,,
A3P57IUDHUKNCE,https://requester.mturk.com/workers/A3P57IUDHUKNCE,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,Never Blocked,,
A3PWHCBLUBWMRS,https://requester.mturk.com/workers/A3PWHCBLUBWMRS,4,4,100.00%,4,4,100.00%,4,4,100.00%,1,,,,Never Blocked,,
A3R4489KD8RIY6,https://requester.mturk.com/workers/A3R4489KD8RIY6,1,0,0.00%,1,0,0.00%,1,0,0.00%,,,,,Never Blocked,,
A3VLGVKJOHU58D,https://requester.mturk.com/workers/A3VLGVKJOHU58D,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,Never Blocked,,
A5BCSSPC180AG,https://requester.mturk.com/workers/A5BCSSPC180AG,7,7,100.00%,7,7,100.00%,7,7,100.00%,,,,,Never Blocked,,
ADQHGQF65JJ08,https://requester.mturk.com/workers/ADQHGQF65JJ08,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,1,,Never Blocked,,
AGQU2CVMUAHD0,https://requester.mturk.com/workers/AGQU2CVMUAHD0,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,Never Blocked,,
AHGPUJ9DX7VKQ,https://requester.mturk.com/workers/AHGPUJ9DX7VKQ,6,6,100.00%,6,6,100.00%,6,6,100.00%,1,2,1,,Never Blocked,,
AKSJ3C5O3V9RB,https://requester.mturk.com/workers/AKSJ3C5O3V9RB,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,Never Blocked,,
AMQGOTPBRWYSF,https://requester.mturk.com/workers/AMQGOTPBRWYSF,11,11,100.00%,11,11,100.00%,11,11,100.00%,1,2,1,,Never Blocked,,
APGX2WZ59OWDN,https://requester.mturk.com/workers/APGX2WZ59OWDN,7,7,100.00%,7,7,100.00%,7,7,100.00%,,,,,Never Blocked,,
AR29S906119QE,https://requester.mturk.com/workers/AR29S906119QE,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,Never Blocked,,
ARKEU8NM8ZJET,https://requester.mturk.com/workers/ARKEU8NM8ZJET,3,3,100.00%,3,3,100.00%,3,3,100.00%,1,,,,Never Blocked,,
ARTARDCXLJ5H6,https://requester.mturk.com/workers/ARTARDCXLJ5H6,12,12,100.00%,12,12,100.00%,12,12,100.00%,1,,,,Never Blocked,,