Worker ID,Link to Individual Worker Page,Number of HITs approved or rejected - Lifetime,Number of HITs approved - Lifetime,Your Lifetime approval rate,Number of HITs approved or rejected - Last 30 days,Number of HITs approved - Last 30 days,Your Last 30 days approval rate,Number of HITs approved or rejected - Last 7 days,Number of HITs approved - Last 7 days,Your Last 7 days approval rate,CURRENT-1stiteration,UPDATE-1stiteration,UPDATE-1stparallel,CURRENT BlockStatus,UPDATE BlockStatus,BlockReason
A12NNJKHIZP1TY,https://requester.mturk.com/workers/A12NNJKHIZP1TY,9,9,100.00%,9,9,100.00%,9,9,100.00%,1,,1,Never Blocked,,
A12TSLY8GXWHB4,https://requester.mturk.com/workers/A12TSLY8GXWHB4,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,Never Blocked,,
A1FN47KACHQ5W,https://requester.mturk.com/workers/A1FN47KACHQ5W,20,20,100.00%,20,20,100.00%,20,20,100.00%,1,,1,Never Blocked,,
A1V70LAP4UDYV6,https://requester.mturk.com/workers/A1V70LAP4UDYV6,2,2,100.00%,2,2,100.00%,2,2,100.00%,1,,,Never Blocked,,
A1XCQA727LJVL2,https://requester.mturk.com/workers/A1XCQA727LJVL2,5,5,100.00%,5,5,100.00%,5,5,100.00%,1,,1,Never Blocked,,
A24JKHC4HTY6CD,https://requester.mturk.com/workers/A24JKHC4HTY6CD,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,Never Blocked,,
A2FWRZLIE1I60V,https://requester.mturk.com/workers/A2FWRZLIE1I60V,6,6,100.00%,6,6,100.00%,6,6,100.00%,,,1,Never Blocked,,
A2G44A4ZPWRPXU,https://requester.mturk.com/workers/A2G44A4ZPWRPXU,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,Never Blocked,,
A2GIT09BQEUM9M,https://requester.mturk.com/workers/A2GIT09BQEUM9M,9,9,100.00%,9,9,100.00%,9,9,100.00%,,,1,Never Blocked,,
A2JAE9P7FQXU2T,https://requester.mturk.com/workers/A2JAE9P7FQXU2T,19,19,100.00%,19,19,100.00%,19,19,100.00%,1,,1,Never Blocked,,
A2JJF5OFND2KL5,https://requester.mturk.com/workers/A2JJF5OFND2KL5,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,Never Blocked,,
A2MRHI9MYSZ37U,https://requester.mturk.com/workers/A2MRHI9MYSZ37U,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,Never Blocked,,
A2ZE2IPHK152KA,https://requester.mturk.com/workers/A2ZE2IPHK152KA,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,1,Never Blocked,,
A33Z442WJQ8ADC,https://requester.mturk.com/workers/A33Z442WJQ8ADC,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,Never Blocked,,
A34AQDMF5GVHVY,https://requester.mturk.com/workers/A34AQDMF5GVHVY,3,3,100.00%,3,3,100.00%,3,3,100.00%,,,1,Never Blocked,,
A3DHYTZ1GPN0T8,https://requester.mturk.com/workers/A3DHYTZ1GPN0T8,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,Never Blocked,,
A3F7TX7LITQ4UP,https://requester.mturk.com/workers/A3F7TX7LITQ4UP,2,2,100.00%,2,2,100.00%,2,2,100.00%,1,,,Never Blocked,,
A3MUG02LJ4BM9F,https://requester.mturk.com/workers/A3MUG02LJ4BM9F,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,1,Never Blocked,,
A3P57IUDHUKNCE,https://requester.mturk.com/workers/A3P57IUDHUKNCE,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,Never Blocked,,
A3PWHCBLUBWMRS,https://requester.mturk.com/workers/A3PWHCBLUBWMRS,4,4,100.00%,4,4,100.00%,4,4,100.00%,,,1,Never Blocked,,
ADQHGQF65JJ08,https://requester.mturk.com/workers/ADQHGQF65JJ08,1,1,100.00%,1,1,100.00%,1,1,100.00%,1,,,Never Blocked,,
AHGPUJ9DX7VKQ,https://requester.mturk.com/workers/AHGPUJ9DX7VKQ,6,6,100.00%,6,6,100.00%,6,6,100.00%,1,,1,Never Blocked,,
AMQGOTPBRWYSF,https://requester.mturk.com/workers/AMQGOTPBRWYSF,11,11,100.00%,11,11,100.00%,11,11,100.00%,1,,1,Never Blocked,,
ARKEU8NM8ZJET,https://requester.mturk.com/workers/ARKEU8NM8ZJET,3,3,100.00%,3,3,100.00%,3,3,100.00%,,,1,Never Blocked,,
ARTARDCXLJ5H6,https://requester.mturk.com/workers/ARTARDCXLJ5H6,12,12,100.00%,12,12,100.00%,12,12,100.00%,,,1,Never Blocked,,