HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.summary,Approve,Reject
38EHZ67RIMTZY6I6DRNU86WXMIOMGR,3BEAH6X9Z7B7TDYC7JC8CI7XRLHS8J,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions, fast, sentence, short, easy, quick",$0.07,Sat Apr 10 14:12:02 PDT 2021,3,BatchId:4403313;OriginalHitTemplateId:928390876;,10800,7200,Sun Apr 11 14:12:02 PDT 2021,,,39O5D9O87TTOISSLVQRXA0XZWC5C3U,A384EFVY03N5KE,Submitted,Sat Apr 10 15:14:17 PDT 2021,Sat Apr 10 15:16:17 PDT 2021,Sat Apr 10 17:16:17 PDT 2021,,,,120,100% (2/2),100% (2/2),100% (2/2),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-adrianna-calvo-564905.jpg,Apartment buildings in a coastal setting feature one building with a giant fish being caught and a building to the right depicts a fisherman.,x,
39KMGHJ4RZB5KO0EAKBTPH24CYY00R,3BEAH6X9Z7B7TDYC7JC8CI7XRLHS8J,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions, fast, sentence, short, easy, quick",$0.07,Sat Apr 10 14:12:02 PDT 2021,3,BatchId:4403313;OriginalHitTemplateId:928390876;,10800,7200,Sun Apr 11 14:12:02 PDT 2021,,,38YMOXR4MU0WT9L8VJPWTXGMYJQ6W4,APUB3MEOMP28M,Submitted,Sat Apr 10 15:28:50 PDT 2021,Sat Apr 10 15:29:39 PDT 2021,Sat Apr 10 17:29:39 PDT 2021,,,,49,0% (0/0),0% (0/0),0% (0/0),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-badr-khechchab-4233098.jpg,A man skateboarding on the side of a wall with a mural of a beach scene.,x,
39KMGHJ4RZB5KO0EAKBTPH24CYY00R,3BEAH6X9Z7B7TDYC7JC8CI7XRLHS8J,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions, fast, sentence, short, easy, quick",$0.07,Sat Apr 10 14:12:02 PDT 2021,3,BatchId:4403313;OriginalHitTemplateId:928390876;,10800,7200,Sun Apr 11 14:12:02 PDT 2021,,,3E1QT0TDFPA1WSKRZHIFCK35P3H8IK,A384EFVY03N5KE,Submitted,Sat Apr 10 15:10:27 PDT 2021,Sat Apr 10 15:12:13 PDT 2021,Sat Apr 10 17:12:13 PDT 2021,,,,106,100% (2/2),100% (2/2),100% (2/2),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-badr-khechchab-4233098.jpg,A skateboarder perches near the top of a large outdoor mural.,,
3CVDZS288H1TK6MB27HCQLWLL3OMFS,3BEAH6X9Z7B7TDYC7JC8CI7XRLHS8J,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions, fast, sentence, short, easy, quick",$0.07,Sat Apr 10 14:12:02 PDT 2021,3,BatchId:4403313;OriginalHitTemplateId:928390876;,10800,7200,Sun Apr 11 14:12:02 PDT 2021,,,337RC3OW0531X5OASDQ2WEF5H5CLVG,A384EFVY03N5KE,Submitted,Sat Apr 10 15:13:16 PDT 2021,Sat Apr 10 15:14:11 PDT 2021,Sat Apr 10 17:14:11 PDT 2021,,,,55,100% (2/2),100% (2/2),100% (2/2),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-bia-sousa-4493795.jpg,A long-haired Asian woman in red sunglasses throws playing cards into the direction of the camera.,,
3CVDZS288H1TK6MB27HCQLWLL3OMFS,3BEAH6X9Z7B7TDYC7JC8CI7XRLHS8J,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions, fast, sentence, short, easy, quick",$0.07,Sat Apr 10 14:12:02 PDT 2021,3,BatchId:4403313;OriginalHitTemplateId:928390876;,10800,7200,Sun Apr 11 14:12:02 PDT 2021,,,3EWIJTFFVO87YYD28UF9YQZVECZE0V,APUB3MEOMP28M,Submitted,Sat Apr 10 15:26:23 PDT 2021,Sat Apr 10 15:27:18 PDT 2021,Sat Apr 10 17:27:18 PDT 2021,,,,55,0% (0/0),0% (0/0),0% (0/0),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-bia-sousa-4493795.jpg,A woman with long brown hair and a red shirt and glasses throwing red uno cards at the camera.,,
3OZ4VAIBEXGSFV2GZP9OSF7Q53HJV9,3BEAH6X9Z7B7TDYC7JC8CI7XRLHS8J,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions, fast, sentence, short, easy, quick",$0.07,Sat Apr 10 14:12:02 PDT 2021,3,BatchId:4403313;OriginalHitTemplateId:928390876;,10800,7200,Sun Apr 11 14:12:02 PDT 2021,,,3IXEICO792K41SHE0EKL6D9NUP7T60,APUB3MEOMP28M,Submitted,Sat Apr 10 15:22:51 PDT 2021,Sat Apr 10 15:23:24 PDT 2021,Sat Apr 10 17:23:24 PDT 2021,,,,33,0% (0/0),0% (0/0),0% (0/0),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-clive-kim-4220967.jpg,A volcano at night with red glowing lava shooting out.,,
3OZ4VAIBEXGSFV2GZP9OSF7Q53HJV9,3BEAH6X9Z7B7TDYC7JC8CI7XRLHS8J,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions, fast, sentence, short, easy, quick",$0.07,Sat Apr 10 14:12:02 PDT 2021,3,BatchId:4403313;OriginalHitTemplateId:928390876;,10800,7200,Sun Apr 11 14:12:02 PDT 2021,,,3STRJBFXOWSB07232IEMGWE5VKQTK4,A384EFVY03N5KE,Submitted,Sat Apr 10 15:09:04 PDT 2021,Sat Apr 10 15:10:21 PDT 2021,Sat Apr 10 17:10:21 PDT 2021,,,,77,100% (2/2),100% (2/2),100% (2/2),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-clive-kim-4220967.jpg,"Underneath starry skies, a volcano erupts from a mountain peak, sending red and orange sparks into the air.",,
3EHVO81VN5MG2DRS4BME9EKV376H1D,3M7B7ZP99O8OH4AC1GOUZXWF8F2RI1,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions",$0.05,Sat Apr 10 14:07:33 PDT 2021,3,BatchId:4403311;OriginalHitTemplateId:928390876;,10800,7200,Sat Apr 10 14:07:15 PDT 2021,,,3PXX5PX6LXZ5S8Z0Q5ACMO5NK1SBAD,A3TDUHEBFJ53NM,Approved,Sat Apr 10 14:08:15 PDT 2021,Sat Apr 10 14:09:14 PDT 2021,Sat Apr 10 16:09:14 PDT 2021,Sat Apr 10 14:23:14 PDT 2021,,,59,100% (15/15),100% (15/15),100% (15/15),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-clive-kim-4220967.jpg,A breath taking view of a volcano erupting in the night sky.,,
3KQC8JMJGCTCCG57RF0XX7ZS1RKH35,3BEAH6X9Z7B7TDYC7JC8CI7XRLHS8J,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions, fast, sentence, short, easy, quick",$0.07,Sat Apr 10 14:12:02 PDT 2021,3,BatchId:4403313;OriginalHitTemplateId:928390876;,10800,7200,Sun Apr 11 14:12:02 PDT 2021,,,33LK57MYLT65A2OADJC6T66WXAPZS7,A384EFVY03N5KE,Submitted,Sat Apr 10 15:04:41 PDT 2021,Sat Apr 10 15:06:18 PDT 2021,Sat Apr 10 17:06:18 PDT 2021,,,,97,100% (2/2),100% (2/2),100% (2/2),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-edu-carvalho-2050975.jpg,An elderly woman wearing glasses and overalls looks up at the sky while holding a straw hat in one hand a basket of flowers in the other.,,
3KQC8JMJGCTCCG57RF0XX7ZS1RKH35,3BEAH6X9Z7B7TDYC7JC8CI7XRLHS8J,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions, fast, sentence, short, easy, quick",$0.07,Sat Apr 10 14:12:02 PDT 2021,3,BatchId:4403313;OriginalHitTemplateId:928390876;,10800,7200,Sun Apr 11 14:12:02 PDT 2021,,,3I2PTA7R3TVY8RABLEKRBR3IBDSQKO,APUB3MEOMP28M,Submitted,Sat Apr 10 15:21:32 PDT 2021,Sat Apr 10 15:22:38 PDT 2021,Sat Apr 10 17:22:38 PDT 2021,,,,66,0% (0/0),0% (0/0),0% (0/0),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-edu-carvalho-2050975.jpg,An elderly lady holding a sunhat and flowers is looking up into the sky.,,
3OID399FXG8QGCGYPEI97V9RCPWFD3,3BEAH6X9Z7B7TDYC7JC8CI7XRLHS8J,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions, fast, sentence, short, easy, quick",$0.07,Sat Apr 10 14:12:02 PDT 2021,3,BatchId:4403313;OriginalHitTemplateId:928390876;,10800,7200,Sun Apr 11 14:12:02 PDT 2021,,,3IQ1VMJRYTLM4FK3SLWGVIAXW1VA98,APUB3MEOMP28M,Submitted,Sat Apr 10 15:29:43 PDT 2021,Sat Apr 10 15:30:12 PDT 2021,Sat Apr 10 17:30:12 PDT 2021,,,,29,0% (0/0),0% (0/0),0% (0/0),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-evgeny-tchebotarev-4101555.jpg,A rainbow over large snowcapped mountains.,,
3OID399FXG8QGCGYPEI97V9RCPWFD3,3BEAH6X9Z7B7TDYC7JC8CI7XRLHS8J,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions, fast, sentence, short, easy, quick",$0.07,Sat Apr 10 14:12:02 PDT 2021,3,BatchId:4403313;OriginalHitTemplateId:928390876;,10800,7200,Sun Apr 11 14:12:02 PDT 2021,,,3WMOAN2SRBYRL5RV4Q6H96JUM0BVNR,A384EFVY03N5KE,Submitted,Sat Apr 10 15:06:23 PDT 2021,Sat Apr 10 15:07:23 PDT 2021,Sat Apr 10 17:07:23 PDT 2021,,,,60,100% (2/2),100% (2/2),100% (2/2),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-evgeny-tchebotarev-4101555.jpg,"In the distance, a rainbow breaks over a cluster of snowy mountains.",,
3RIHDBQ1NEZDY2DHXX5CT68Y1I1MHQ,3BEAH6X9Z7B7TDYC7JC8CI7XRLHS8J,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions, fast, sentence, short, easy, quick",$0.07,Sat Apr 10 14:12:02 PDT 2021,3,BatchId:4403313;OriginalHitTemplateId:928390876;,10800,7200,Sun Apr 11 14:12:02 PDT 2021,,,39GHHAVOMFSW82HV5WD279200WAJ40,A384EFVY03N5KE,Submitted,Sat Apr 10 15:12:18 PDT 2021,Sat Apr 10 15:13:10 PDT 2021,Sat Apr 10 17:13:10 PDT 2021,,,,52,100% (2/2),100% (2/2),100% (2/2),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-godisable-jacob-1394882.jpg,A black woman in a polka dot dress holds a large bag in one hand while covering her laughing face with the other.,,
3RIHDBQ1NEZDY2DHXX5CT68Y1I1MHQ,3BEAH6X9Z7B7TDYC7JC8CI7XRLHS8J,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions, fast, sentence, short, easy, quick",$0.07,Sat Apr 10 14:12:02 PDT 2021,3,BatchId:4403313;OriginalHitTemplateId:928390876;,10800,7200,Sun Apr 11 14:12:02 PDT 2021,,,3I0BTBYZAXM543UT8VR35TRBWO40YW,APUB3MEOMP28M,Submitted,Sat Apr 10 15:25:37 PDT 2021,Sat Apr 10 15:26:05 PDT 2021,Sat Apr 10 17:26:05 PDT 2021,,,,28,0% (0/0),0% (0/0),0% (0/0),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-anna-shvets-4588065.jpg,Bunny with yellow glasses in a yellow background.,,
386659BNTLI5RDLW63FT3MLEHQ401U,3BEAH6X9Z7B7TDYC7JC8CI7XRLHS8J,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions, fast, sentence, short, easy, quick",$0.07,Sat Apr 10 14:12:03 PDT 2021,3,BatchId:4403313;OriginalHitTemplateId:928390876;,10800,7200,Sun Apr 11 14:12:03 PDT 2021,,,3TEM0PF1Q5Y26SZ2CZ4PS8HAE0Y0DO,APUB3MEOMP28M,Submitted,Sat Apr 10 15:23:29 PDT 2021,Sat Apr 10 15:24:21 PDT 2021,Sat Apr 10 17:24:21 PDT 2021,,,,52,0% (0/0),0% (0/0),0% (0/0),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-julia-khalimova-3649190.jpg,A gondola being paddled under a walking bridge.,x,
386659BNTLI5RDLW63FT3MLEHQ401U,3BEAH6X9Z7B7TDYC7JC8CI7XRLHS8J,Describe some images in brief sentences,Briefly describe some photos in English as factually as possible.,"image, summarization, brief, easy, simple, images, photo, photos, photography, describe, description, descriptions, fast, sentence, short, easy, quick",$0.07,Sat Apr 10 14:12:03 PDT 2021,3,BatchId:4403313;OriginalHitTemplateId:928390876;,10800,7200,Sun Apr 11 14:12:03 PDT 2021,,,3V5Q80FXIXSBKA0JYX2RYNODKLS32C,A384EFVY03N5KE,Submitted,Sat Apr 10 15:07:28 PDT 2021,Sat Apr 10 15:09:00 PDT 2021,Sat Apr 10 17:09:00 PDT 2021,,,,92,100% (2/2),100% (2/2),100% (2/2),https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-julia-khalimova-3649190.jpg,A gondolier steers his passenger-filled boat underneath a bridge that's bordered by stone buildings in modern day Venice.,,