Worker ID,Link to Individual Worker Page,Number of HITs approved or rejected - Lifetime,Number of HITs approved - Lifetime,Your Lifetime approval rate,Number of HITs approved or rejected - Last 30 days,Number of HITs approved - Last 30 days,Your Last 30 days approval rate,Number of HITs approved or rejected - Last 7 days,Number of HITs approved - Last 7 days,Your Last 7 days approval rate,CURRENT-3rditeration,UPDATE-3rditeration,CURRENT-2nditeration,UPDATE-2nditeration,CURRENT-1stparallel,UPDATE-1stparallel,CURRENT-1stiteration,UPDATE-1stiteration,CURRENT BlockStatus,UPDATE BlockStatus,BlockReason
A10042UW3Q59GF,https://master-requester.mturk.com/workers/A10042UW3Q59GF,3,3,100.00%,3,3,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A12NNJKHIZP1TY,https://master-requester.mturk.com/workers/A12NNJKHIZP1TY,9,9,100.00%,9,9,100.00%,0,0,0.00%,,,,,1,,1,,Never Blocked,,
A12TSLY8GXWHB4,https://master-requester.mturk.com/workers/A12TSLY8GXWHB4,2,2,100.00%,2,2,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A13GUTDMGGZZDL,https://master-requester.mturk.com/workers/A13GUTDMGGZZDL,14,14,100.00%,14,14,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A163IXTTEZCCJ6,https://master-requester.mturk.com/workers/A163IXTTEZCCJ6,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A1DMD1AC2SCHV1,https://master-requester.mturk.com/workers/A1DMD1AC2SCHV1,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,,1,Never Blocked,,
A1F2KH08DX3M4W,https://master-requester.mturk.com/workers/A1F2KH08DX3M4W,6,6,100.00%,6,6,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A1FN47KACHQ5W,https://master-requester.mturk.com/workers/A1FN47KACHQ5W,20,20,100.00%,20,20,100.00%,0,0,0.00%,,,1,,1,,1,,Never Blocked,,
A1IKH0O3IO4RFC,https://master-requester.mturk.com/workers/A1IKH0O3IO4RFC,1,1,100.00%,1,1,100.00%,0,0,0.00%,1,,,,,,1,,Never Blocked,,
A1IYY75YZQW908,https://master-requester.mturk.com/workers/A1IYY75YZQW908,13,13,100.00%,13,13,100.00%,13,13,100.00%,,,,,,,,1,Never Blocked,,
A1K0TANCR2KNO7,https://master-requester.mturk.com/workers/A1K0TANCR2KNO7,9,9,100.00%,9,9,100.00%,0,0,0.00%,1,,,,,,1,,Never Blocked,,
A1MPNYNTLMLJCR,https://master-requester.mturk.com/workers/A1MPNYNTLMLJCR,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A1RP234EJ8NH7K,https://master-requester.mturk.com/workers/A1RP234EJ8NH7K,2,2,100.00%,2,2,100.00%,0,0,0.00%,1,,,,,,1,,Never Blocked,,
A1T0QDGU4D0A0V,https://master-requester.mturk.com/workers/A1T0QDGU4D0A0V,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,,1,Never Blocked,,
A1V70LAP4UDYV6,https://master-requester.mturk.com/workers/A1V70LAP4UDYV6,2,2,100.00%,2,2,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A1XCQA727LJVL2,https://master-requester.mturk.com/workers/A1XCQA727LJVL2,5,5,100.00%,5,5,100.00%,0,0,0.00%,,,,,1,,1,,Never Blocked,,
A23KAJRDVCVGOE,https://master-requester.mturk.com/workers/A23KAJRDVCVGOE,13,13,100.00%,13,13,100.00%,0,0,0.00%,1,,,,,,1,,Never Blocked,,
A2482SLAY120J2,https://master-requester.mturk.com/workers/A2482SLAY120J2,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,,1,Never Blocked,,
A24DSECWUBZC0Z,https://master-requester.mturk.com/workers/A24DSECWUBZC0Z,5,5,100.00%,5,5,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A24JKHC4HTY6CD,https://master-requester.mturk.com/workers/A24JKHC4HTY6CD,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A281Q8U3T9H7JS,https://master-requester.mturk.com/workers/A281Q8U3T9H7JS,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A2BNQ8VAMP3ZYO,https://master-requester.mturk.com/workers/A2BNQ8VAMP3ZYO,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A2CJFO19NY4T5R,https://master-requester.mturk.com/workers/A2CJFO19NY4T5R,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A2FWRZLIE1I60V,https://master-requester.mturk.com/workers/A2FWRZLIE1I60V,26,26,100.00%,26,26,100.00%,0,0,0.00%,1,,,,1,,1,,Never Blocked,,
A2G44A4ZPWRPXU,https://master-requester.mturk.com/workers/A2G44A4ZPWRPXU,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A2GIT09BQEUM9M,https://master-requester.mturk.com/workers/A2GIT09BQEUM9M,9,9,100.00%,9,9,100.00%,0,0,0.00%,,,,,1,,1,,Never Blocked,,
A2HRUFTA09371Y,https://master-requester.mturk.com/workers/A2HRUFTA09371Y,15,15,100.00%,15,15,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A2JAE9P7FQXU2T,https://master-requester.mturk.com/workers/A2JAE9P7FQXU2T,19,19,100.00%,19,19,100.00%,0,0,0.00%,,,,,1,,1,,Never Blocked,,
A2JJF5OFND2KL5,https://master-requester.mturk.com/workers/A2JJF5OFND2KL5,3,3,100.00%,3,3,100.00%,0,0,0.00%,1,,,,,,1,,Never Blocked,,
A2KNV8X9K7F80Y,https://master-requester.mturk.com/workers/A2KNV8X9K7F80Y,2,2,100.00%,2,2,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A2L7S6RZOZ6NM9,https://master-requester.mturk.com/workers/A2L7S6RZOZ6NM9,12,12,100.00%,12,12,100.00%,12,12,100.00%,,,,,,,,1,Never Blocked,,
A2LED6ZGVIMIJT,https://master-requester.mturk.com/workers/A2LED6ZGVIMIJT,1,1,100.00%,1,1,100.00%,0,0,0.00%,1,,,,,,1,,Never Blocked,,
A2LSYIW9I5K4JE,https://master-requester.mturk.com/workers/A2LSYIW9I5K4JE,3,3,100.00%,3,3,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A2M17UGPFZWXQW,https://master-requester.mturk.com/workers/A2M17UGPFZWXQW,3,2,66.67%,3,2,66.67%,0,0,0.00%,1,,,,,,1,,Never Blocked,,
A2MOKIEQZ0OF2M,https://master-requester.mturk.com/workers/A2MOKIEQZ0OF2M,1,1,100.00%,1,1,100.00%,0,0,0.00%,1,,,,,,1,,Never Blocked,,
A2MRHI9MYSZ37U,https://master-requester.mturk.com/workers/A2MRHI9MYSZ37U,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A2MUOR5H62S8OG,https://master-requester.mturk.com/workers/A2MUOR5H62S8OG,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A2NBJMEKICEU1A,https://master-requester.mturk.com/workers/A2NBJMEKICEU1A,6,6,100.00%,6,6,100.00%,0,0,0.00%,1,,,,,,1,,Never Blocked,,
A2OATZCX1YXE77,https://master-requester.mturk.com/workers/A2OATZCX1YXE77,3,3,100.00%,3,3,100.00%,0,0,0.00%,1,,,,,,1,,Never Blocked,,
A2VO8C41JJIQY9,https://master-requester.mturk.com/workers/A2VO8C41JJIQY9,1,1,100.00%,1,1,100.00%,0,0,0.00%,1,,,,,,1,,Never Blocked,,
A2W741EHOTUL4S,https://master-requester.mturk.com/workers/A2W741EHOTUL4S,5,5,100.00%,5,5,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A2WVCXVSE0YGML,https://master-requester.mturk.com/workers/A2WVCXVSE0YGML,1,1,100.00%,1,1,100.00%,0,0,0.00%,1,,,,,,1,,Never Blocked,,
A2XK59FYAFO9EX,https://master-requester.mturk.com/workers/A2XK59FYAFO9EX,3,2,66.67%,3,2,66.67%,0,0,0.00%,1,,,,,,1,,Never Blocked,,
A2ZE2IPHK152KA,https://master-requester.mturk.com/workers/A2ZE2IPHK152KA,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,1,,1,,Never Blocked,,
A2ZRL1ZWWXJ0L7,https://master-requester.mturk.com/workers/A2ZRL1ZWWXJ0L7,7,7,100.00%,7,7,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A31ZMKF1XY6SFF,https://master-requester.mturk.com/workers/A31ZMKF1XY6SFF,1,1,100.00%,1,1,100.00%,0,0,0.00%,1,,,,,,1,,Never Blocked,,
A33Z442WJQ8ADC,https://master-requester.mturk.com/workers/A33Z442WJQ8ADC,2,2,100.00%,2,2,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A34AQDMF5GVHVY,https://master-requester.mturk.com/workers/A34AQDMF5GVHVY,18,18,100.00%,18,18,100.00%,0,0,0.00%,,,,,1,,1,,Never Blocked,,
A354RKOFOLWVBT,https://master-requester.mturk.com/workers/A354RKOFOLWVBT,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A35CL66BEUSJ5Z,https://master-requester.mturk.com/workers/A35CL66BEUSJ5Z,12,12,100.00%,12,12,100.00%,0,0,0.00%,1,,,,,,1,,Never Blocked,,
A36J455OS7SCN1,https://master-requester.mturk.com/workers/A36J455OS7SCN1,3,3,100.00%,3,3,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A39AFS9KQ45KEA,https://master-requester.mturk.com/workers/A39AFS9KQ45KEA,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A3DHYTZ1GPN0T8,https://master-requester.mturk.com/workers/A3DHYTZ1GPN0T8,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A3EO5H2EI4G4TC,https://master-requester.mturk.com/workers/A3EO5H2EI4G4TC,3,3,100.00%,3,3,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A3EV8FICYYTUUZ,https://master-requester.mturk.com/workers/A3EV8FICYYTUUZ,2,2,100.00%,2,2,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A3F7TX7LITQ4UP,https://master-requester.mturk.com/workers/A3F7TX7LITQ4UP,2,2,100.00%,2,2,100.00%,0,0,0.00%,,,1,,,,1,,Never Blocked,,
A3HGZDLMCKGPSE,https://master-requester.mturk.com/workers/A3HGZDLMCKGPSE,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A3J1Z7M0HK401H,https://master-requester.mturk.com/workers/A3J1Z7M0HK401H,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A3K3SV4EU4NHFD,https://master-requester.mturk.com/workers/A3K3SV4EU4NHFD,4,4,100.00%,4,4,100.00%,4,4,100.00%,,,,,,,,1,Never Blocked,,
A3KA1ZSIF3UKWZ,https://master-requester.mturk.com/workers/A3KA1ZSIF3UKWZ,3,3,100.00%,3,3,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A3MUG02LJ4BM9F,https://master-requester.mturk.com/workers/A3MUG02LJ4BM9F,22,22,100.00%,22,22,100.00%,0,0,0.00%,1,,,,1,,1,,Never Blocked,,
A3NFGEUZAH9V5G,https://master-requester.mturk.com/workers/A3NFGEUZAH9V5G,3,3,100.00%,3,3,100.00%,0,0,0.00%,1,,,,,,1,,Never Blocked,,
A3O5X3P3N0KU7I,https://master-requester.mturk.com/workers/A3O5X3P3N0KU7I,3,2,66.67%,3,2,66.67%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A3P57IUDHUKNCE,https://master-requester.mturk.com/workers/A3P57IUDHUKNCE,2,2,100.00%,2,2,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A3PE6Y84HH8AKG,https://master-requester.mturk.com/workers/A3PE6Y84HH8AKG,13,13,100.00%,13,13,100.00%,13,13,100.00%,,,,,,,,1,Never Blocked,,
A3PWHCBLUBWMRS,https://master-requester.mturk.com/workers/A3PWHCBLUBWMRS,4,4,100.00%,4,4,100.00%,0,0,0.00%,,,,,1,,1,,Never Blocked,,
A3R4489KD8RIY6,https://master-requester.mturk.com/workers/A3R4489KD8RIY6,1,0,0.00%,1,0,0.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A3T9WZOUQGE2UW,https://master-requester.mturk.com/workers/A3T9WZOUQGE2UW,9,9,100.00%,9,9,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A3UWHJTAUTF6TO,https://master-requester.mturk.com/workers/A3UWHJTAUTF6TO,6,6,100.00%,6,6,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A3VLGVKJOHU58D,https://master-requester.mturk.com/workers/A3VLGVKJOHU58D,2,2,100.00%,2,2,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A3VOYK4UGI5BJF,https://master-requester.mturk.com/workers/A3VOYK4UGI5BJF,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A5BCSSPC180AG,https://master-requester.mturk.com/workers/A5BCSSPC180AG,7,7,100.00%,7,7,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A61KQYQ00YNL1,https://master-requester.mturk.com/workers/A61KQYQ00YNL1,15,15,100.00%,15,15,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A8MF3Y278EWK2,https://master-requester.mturk.com/workers/A8MF3Y278EWK2,12,12,100.00%,12,12,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A8TLS2F8LFQ68,https://master-requester.mturk.com/workers/A8TLS2F8LFQ68,8,8,100.00%,8,8,100.00%,0,0,0.00%,1,,,,,,1,,Never Blocked,,
AABIX1L6Q3X0,https://master-requester.mturk.com/workers/AABIX1L6Q3X0,4,4,100.00%,4,4,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
ADP1QUGXHGJRS,https://master-requester.mturk.com/workers/ADP1QUGXHGJRS,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
ADQHGQF65JJ08,https://master-requester.mturk.com/workers/ADQHGQF65JJ08,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,1,,,,1,,Never Blocked,,
AESEZX8S7Z3IC,https://master-requester.mturk.com/workers/AESEZX8S7Z3IC,15,15,100.00%,15,15,100.00%,15,15,100.00%,,,,,,,,1,Never Blocked,,
AGQU2CVMUAHD0,https://master-requester.mturk.com/workers/AGQU2CVMUAHD0,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
AHGPUJ9DX7VKQ,https://master-requester.mturk.com/workers/AHGPUJ9DX7VKQ,6,6,100.00%,6,6,100.00%,0,0,0.00%,,,,,1,,1,,Never Blocked,,
AITCN4CRKA80R,https://master-requester.mturk.com/workers/AITCN4CRKA80R,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,,1,Never Blocked,,
AKSJ3C5O3V9RB,https://master-requester.mturk.com/workers/AKSJ3C5O3V9RB,13,13,100.00%,13,13,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
ALHY07J1IGHO8,https://master-requester.mturk.com/workers/ALHY07J1IGHO8,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
AMQGOTPBRWYSF,https://master-requester.mturk.com/workers/AMQGOTPBRWYSF,11,11,100.00%,11,11,100.00%,0,0,0.00%,,,1,,1,,1,,Never Blocked,,
APGX2WZ59OWDN,https://master-requester.mturk.com/workers/APGX2WZ59OWDN,7,7,100.00%,7,7,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
AR29S906119QE,https://master-requester.mturk.com/workers/AR29S906119QE,4,4,100.00%,4,4,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
ARKEU8NM8ZJET,https://master-requester.mturk.com/workers/ARKEU8NM8ZJET,8,8,100.00%,8,8,100.00%,0,0,0.00%,1,,,,1,,1,,Never Blocked,,
ARTARDCXLJ5H6,https://master-requester.mturk.com/workers/ARTARDCXLJ5H6,12,12,100.00%,12,12,100.00%,0,0,0.00%,,,,,1,,1,,Never Blocked,,
ATIVK9XUANIUE,https://master-requester.mturk.com/workers/ATIVK9XUANIUE,5,5,100.00%,5,5,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
AZ2P6DGG5M6SH,https://master-requester.mturk.com/workers/AZ2P6DGG5M6SH,1,1,100.00%,1,1,100.00%,0,0,0.00%,1,,,,,,1,,Never Blocked,,
AZU9D7YLCTAYV,https://master-requester.mturk.com/workers/AZU9D7YLCTAYV,3,3,100.00%,3,3,100.00%,0,0,0.00%,,,,,,,1,1,Never Blocked,,
,,,,,,,,,,,,,,,,,,1,,,
